title,price,price_raw,currency,platform,url,image,seller,sku,category,category_hint,attributes,match_reason,search_query,subcategory,price_usd,rating,reviews_count,scraped_at,id
"Hp Laptop 15-FC0075k - Ecran FHD 15,6""- Ryzen5-7520u - 8Gb LPDDR 5 + 512 Go SSD - Wifi 6 - Windows 11h6 - Noir Ébène - Neuf - Garantie 1an",5799.0,5799.0,MAD,jumia,https://www.jumia.ma/hp-laptop-15-fc0075k-ecran-fhd-156-ryzen5-7520u-8gb-lpddr-5-512-go-ssd-wifi-6-windows-11h6-noir-ebene-neuf-garantie-1an-66563294.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/236566/1.jpg?6598,Jumia,HP017EL0TBB6ENAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,579.9,,0,2026-05-14T01:44:02.363704Z,
"DELL Laptop LATITUDE 7420 i5-11th , RAM 16 Go, 512 Go SSD- Remis à neuf -",5500.0,5500.0,MAD,jumia,https://www.jumia.ma/dell-laptop-latitude-7420-i5-11th-ram-16-go-512-go-ssd-remis-a-neuf-66404115.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/140466/1.jpg?2504,Jumia,DE014CL0UG48INAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,550.0,,0,2026-05-14T01:44:02.363727Z,
DELL laptop latitude i5 8eme génération 8G RAM 256SSD win 11,3400.0,3400.0,MAD,jumia,https://www.jumia.ma/dell-laptop-latitude-i5-8eme-generation-8g-ram-256ssd-win-11-65975240.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/257956/1.jpg?9045,Jumia,DE014CL02J9GKNAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,340.0,,0,2026-05-14T01:44:02.363738Z,
Lenovo ThinkPad X13 Yoga Gen 1 Convertible Laptop Core™ i5-10210U / 16GO -512GO SSD,4099.0,4099.0,MAD,jumia,https://www.jumia.ma/lenovo-thinkpad-x13-yoga-gen-1-convertible-laptop-coretm-i5-10210u-16go-512go-ssd-66138811.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/883166/1.jpg?0805,Jumia,LE018CL072P3YNAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,409.9,,0,2026-05-14T01:44:02.363745Z,
Crucial Crucial RAM 16GB DDR4-3200 SODIMM – Performance Ultra-Rapide pour PC & Laptop,1879.0,1879.0,MAD,jumia,https://www.jumia.ma/crucial-crucial-ram-16gb-ddr4-3200-sodimm-performance-ultra-rapide-pour-pc-laptop-67393789.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/739376/1.jpg?7498,Jumia,CR437EA1MSBSGNAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,187.9,,0,2026-05-14T01:44:02.363752Z,
Baseus Adaman Power Bank 140W 24000mAh – Batterie Externe Charge Ultra Rapide PD 3.1 – Power Bank Laptop MacBook / iPhone / Samsung – Écran Digital – Type-C + USB-A,1579.0,1579.0,MAD,jumia,https://www.jumia.ma/baseus-adaman-power-bank-140w-24000mah-batterie-externe-charge-ultra-rapide-pd-3.1-power-bank-laptop-macbook-iphone-samsung-ecran-digital-type-c-usb-a-67682023.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/028676/1.jpg?6878,Jumia,BA167EA0J2HHGNAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,157.9,,0,2026-05-14T01:44:02.363769Z,
"Hp 250 G8 - Core i5-1035G1 - 8Go RAM + 256Go SSD - 15"" FHD - FreeDOS (Neuf)",9000.0,9000.0,MAD,jumia,https://www.jumia.ma/hp-250-g8-core-i5-1035g1-8go-ram-256go-ssd-15-fhd-freedos-neuf-55181193.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/118155/1.jpg?3702,Jumia,HP017CL0NAFRFNAFAMZ,electronics,,{},BRAND+SPEC: 'hp' + 'i5',laptop,,900.0,,0,2026-05-14T01:44:02.363782Z,
Crucial SO-DIMM DDR4 32Go 3200MHz CL22 – Mémoire RAM Haute Performance pour PC & Laptop »,2989.0,2989.0,MAD,jumia,https://www.jumia.ma/crucial-so-dimm-ddr4-32go-3200mhz-cl22-memoire-ram-haute-performance-pour-pc-laptop-67590000.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/009576/1.jpg?6832,Jumia,CR437EA0007E0NAFAMZ,electronics,,{},POSITIVE: 'laptop',laptop,laptop,298.9,,0,2026-05-14T01:44:02.363788Z,
2025 14 inch Affordable Student Laptop Budget-Friendly Notebook Windows 10 for School Lightweight intel Celeron CPU USB 3.0 WiFi,1348.27,1348.27,MAD,aliexpress,https://www.aliexpress.com/item/1005008529632030.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-0&pdp_ext_f=%7B%22order%22%3A%22183%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%211624.42%211348.27%21%21%21165.00%21136.95%21%40211b813b17787228337537699ed697%2112000045582253169%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=IDNc8Rmb7E9w&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008529632030%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,134.83,,0,2026-05-14T01:44:02.363841Z,1005008529632030
"REDMI Book Pro 16 2025 Ultra5-225H 32GB+1TB 16inch 3.1K 165Hz Sale, Big Discount, Big Sale",7088.4,7088.40,MAD,aliexpress,https://www.aliexpress.com/item/1005005844227191.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-1&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%217088.40%217088.40%21%21%21720.00%21720.00%21%40211b813b17787228337537699ed697%2112000056558112477%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=efmz3LwpNL4w&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005844227191%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,,708.84,,0,2026-05-14T01:44:02.363874Z,1005005844227191
2025 MSI Stealth 18 HX AI Gaming Laptop 18 Inch 4K 120Hz MiniLED Screen Netbook Intel Ultra 9-275HX 64GB 2TB RTX5090 Notebook PC,39218.93,39218.93,MAD,aliexpress,https://www.aliexpress.com/item/1005011627628108.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-2&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%2156027.04%2139218.93%21%21%2138650.00%2127055.00%21%40211b813b17787228337537699ed697%2112000057121161285%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=cHw0LiU1YfbJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011627628108%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,3921.89,,0,2026-05-14T01:44:02.363909Z,1005011627628108
"ZEUSLAP 16"" Portable Monitor 100%sRGB 1200P IPS Screen Travel Gaming Computer Display for Steam Deck Laptop Switch PS4 PS5 Xbox",2095.87,2095.87,MAD,aliexpress,https://www.aliexpress.com/item/1005006384153003.html?aem_p4p_detail=2026051318403313100448619898010001620532&algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-3&pdp_ext_f=%7B%22order%22%3A%221730%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%212702.84%212095.87%21%21%211864.54%211445.82%21%40211b813b17787228337537699ed697%2112000036982128029%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=UTkPir0QpiCX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006384153003%7C_p_origin_prod%3A&search_p4p_id=2026051318403313100448619898010001620532_1,,,,electronics,,{},,laptop,laptop,209.59,,0,2026-05-14T01:44:02.363943Z,1005006384153003
"11.6-inch laptop, 4GB of RAM, 64GB of internal storage, supports TF memory cards up to 512GB, supports SSD，Bluetooth,WIFI",2768.83,2768.83,MAD,aliexpress,https://www.aliexpress.com/item/1005010383001803.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-4&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%215974.90%212768.83%21%21%214121.76%211910.06%21%40211b813b17787228337537699ed697%2112000052222374259%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=LIFeRjnlBHMB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010383001803%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,276.88,,0,2026-05-14T01:44:02.363989Z,1005010383001803
16Inch Gaming Laptop Computer Notebook RTX4050 6G Intel Core i9-13900HK Windows11 RAM Max 64GB DDR5 2*M.2 NVME 2TB SSD WiFi,10437.12,10437.12,MAD,aliexpress,https://www.aliexpress.com/item/1005009888298829.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-5&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%2117395.20%2110437.12%21%21%2112000.00%217200.00%21%40211b813b17787228337537699ed697%2112000052609647746%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=EJXKX0nBwmOU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009888298829%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,1043.71,,0,2026-05-14T01:44:02.364023Z,1005009888298829
15.6 Inch Laptop PC 8GB LPDDR4 RAM 128GB SSD ROM Windows 10 Computer 4-Core Processor WIFI Intel Celeron N5095 CPU 2.00GHz,2835.36,2835.36,MAD,aliexpress,https://www.aliexpress.com/item/1005009404810955.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-6&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%215670.72%212835.36%21%21%21576.00%21288.00%21%40211b813b17787228337537699ed697%2112000049699163773%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=oR7DW4TcMRVA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009404810955%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,283.54,,0,2026-05-14T01:44:02.364054Z,1005009404810955
"SIBOLAN 15.6"" 4K OLED Portable Touch Monitor Non-touch Optional 3840*2160P UHD External Screen USB C HDMI for Phone Laptop PS4/5",2790.72,2790.72,MAD,aliexpress,https://www.aliexpress.com/item/1005012261220888.html?aem_p4p_detail=2026051318403313100448619898010001620532&algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-7&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%214730.04%212790.72%21%21%213263.00%211925.17%21%40211b813b17787228337537699ed697%2112000057910960829%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=EqNcv9tJu4EM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012261220888%7C_p_origin_prod%3A&search_p4p_id=2026051318403313100448619898010001620532_2,,,,electronics,,{},,laptop,laptop,279.07,,0,2026-05-14T01:44:02.364086Z,1005012261220888
Xiaman Laptop Computer Windows 11 Pro Intel Atom A3950 Quad-Core 2025 Notebook PC 12GB RAM 1TB 2TB SSD 1920*1080 Office Computer,3672.19,3672.19,MAD,aliexpress,https://www.aliexpress.com/item/1005009658215373.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-8&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%217423.14%213672.19%21%21%215120.82%212533.24%21%40211b813b17787228337537699ed697%2112000049789671542%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=Zb1qerJX12tx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009658215373%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,367.22,,0,2026-05-14T01:44:02.364118Z,1005009658215373
"Laptop with 4Gb Ddr4+64Gb Emmc, Expandable to 512Gb Ssd, 11.6inch Display Ports, Bluetooth Wifi, HDMI Connection, Supports Tf Card Expansion",2527.08,2527.08,MAD,aliexpress,https://www.aliexpress.com/item/1005010634172800.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-9&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%215346.79%212527.08%21%21%213688.46%211743.29%21%40211b813b17787228337537699ed697%2112000053039197199%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=TNn3VXv2eaDR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010634172800%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,252.71,,0,2026-05-14T01:44:02.364150Z,1005010634172800
"Laptop Computer 11.6 Inches, 4+64Gb Memory, for Office Work, Entertainment, and Listening to Music, Wifi, Bluetooth, Russian Keyboard",2966.27,2966.27,MAD,aliexpress,https://www.aliexpress.com/item/1005012190410438.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-10&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%216311.21%212966.27%21%21%214353.76%212046.27%21%40211b813b17787228337537699ed697%2112000057732794505%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=0YrPPI2YqOXh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012190410438%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,296.63,,0,2026-05-14T01:44:02.364183Z,1005012190410438
Portable 2 in 1 Laptop Computer Intel N4020 11.6 Inch Touch Screen Notebook Ram 8GB Rom 128GB-1TB SSD Windows 11 Pro PC Computer,1929.62,1929.62,MAD,aliexpress,https://www.aliexpress.com/item/1005009365828046.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-12&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%211969.00%211929.62%21%21%21200.00%21196.00%21%40211b813b17787228337537699ed697%2112000048876643986%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=6Oy4nGXgO099&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009365828046%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,192.96,,0,2026-05-14T01:44:02.364253Z,1005009365828046
"GPD Micro PC 2 Beastly Handheld Mini Laptop: 7 Blazing Touch Screen, 16GB RAM, 512GB SSD, N300 CPU, Windows 11 Pocket-Sized",9521.78,9521.78,MAD,aliexpress,https://www.aliexpress.com/item/1005012175016132.html?algo_pvid=73f7c98d-8283-4cfb-886c-7339ec58ed32&algo_exp_id=73f7c98d-8283-4cfb-886c-7339ec58ed32-13&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%2113602.55%219521.78%21%21%219383.66%216568.56%21%40211b813b17787228337537699ed697%2112000057675257132%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab2846794%3Bm03_new_user%3A-29895&curPageLogUid=wJDCuzE7O0Ax&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012175016132%7C_p_origin_prod%3A,,,,electronics,,{},,laptop,laptop,952.18,,0,2026-05-14T01:44:02.364282Z,1005012175016132
