antecedents_str,consequents_str,rule_str,support,confidence,lift,leverage,conviction
"bas_de_gamme, ssd_2to+","brand_honor, ram_32go+","bas_de_gamme, ssd_2to+  →  brand_honor, ram_32go+",0.06,0.6,10.0,0.054,2.3499999999999996
"brand_honor, ram_32go+","bas_de_gamme, ssd_2to+","brand_honor, ram_32go+  →  bas_de_gamme, ssd_2to+",0.06,1.0,10.0,0.054,inf
"brand_honor, ram_32go+","normal, ssd_2to+","brand_honor, ram_32go+  →  normal, ssd_2to+",0.06,1.0,8.333333333333334,0.0528,inf
"normal, ssd_2to+","brand_honor, ram_32go+","normal, ssd_2to+  →  brand_honor, ram_32go+",0.06,0.5,8.333333333333334,0.0528,1.88
"bas_de_gamme, brand_honor","normal, ssd_2to+","bas_de_gamme, brand_honor  →  normal, ssd_2to+",0.06,1.0,8.333333333333334,0.0528,inf
"normal, ssd_2to+","bas_de_gamme, brand_honor","normal, ssd_2to+  →  bas_de_gamme, brand_honor",0.06,0.5,8.333333333333334,0.0528,1.88
brand_honor,"bas_de_gamme, ram_32go+, ssd_2to+","brand_honor  →  bas_de_gamme, ram_32go+, ssd_2to+",0.06,0.6,7.5,0.052,2.3
"bas_de_gamme, ram_32go+, ssd_2to+",brand_honor,"bas_de_gamme, ram_32go+, ssd_2to+  →  brand_honor",0.06,0.75,7.5,0.052,3.6
"bas_de_gamme, brand_honor","ram_32go+, ssd_2to+","bas_de_gamme, brand_honor  →  ram_32go+, ssd_2to+",0.06,1.0,7.142857142857142,0.05159999999999999,inf
"brand_honor, ram_32go+",ssd_2to+,"brand_honor, ram_32go+  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"bas_de_gamme, brand_honor",ssd_2to+,"bas_de_gamme, brand_honor  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"brand_honor, platform_aliexpress, ram_32go+",ssd_2to+,"brand_honor, platform_aliexpress, ram_32go+  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"brand_honor, ram_32go+","platform_aliexpress, ssd_2to+","brand_honor, ram_32go+  →  platform_aliexpress, ssd_2to+",0.06,1.0,6.25,0.0504,inf
"bas_de_gamme, brand_honor, platform_aliexpress",ssd_2to+,"bas_de_gamme, brand_honor, platform_aliexpress  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"bas_de_gamme, brand_honor","platform_aliexpress, ssd_2to+","bas_de_gamme, brand_honor  →  platform_aliexpress, ssd_2to+",0.06,1.0,6.25,0.0504,inf
"brand_honor, normal, ram_32go+",ssd_2to+,"brand_honor, normal, ram_32go+  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"bas_de_gamme, brand_honor, ram_32go+",ssd_2to+,"bas_de_gamme, brand_honor, ram_32go+  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"bas_de_gamme, brand_honor, normal",ssd_2to+,"bas_de_gamme, brand_honor, normal  →  ssd_2to+",0.06,1.0,6.25,0.0504,inf
"bas_de_gamme, ssd_2to+","brand_honor, normal","bas_de_gamme, ssd_2to+  →  brand_honor, normal",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"bas_de_gamme, ssd_2to+","brand_honor, platform_aliexpress","bas_de_gamme, ssd_2to+  →  brand_honor, platform_aliexpress",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"normal, ram_32go+, ssd_2to+",brand_honor,"normal, ram_32go+, ssd_2to+  →  brand_honor",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"bas_de_gamme, ssd_2to+",brand_honor,"bas_de_gamme, ssd_2to+  →  brand_honor",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
brand_honor,"bas_de_gamme, ssd_2to+","brand_honor  →  bas_de_gamme, ssd_2to+",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"bas_de_gamme, platform_aliexpress, ssd_2to+",brand_honor,"bas_de_gamme, platform_aliexpress, ssd_2to+  →  brand_honor",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
brand_honor,"normal, ram_32go+, ssd_2to+","brand_honor  →  normal, ram_32go+, ssd_2to+",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"brand_honor, platform_aliexpress","bas_de_gamme, ssd_2to+","brand_honor, platform_aliexpress  →  bas_de_gamme, ssd_2to+",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"bas_de_gamme, normal, ssd_2to+",brand_honor,"bas_de_gamme, normal, ssd_2to+  →  brand_honor",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
brand_honor,"bas_de_gamme, platform_aliexpress, ssd_2to+","brand_honor  →  bas_de_gamme, platform_aliexpress, ssd_2to+",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
brand_honor,"bas_de_gamme, normal, ssd_2to+","brand_honor  →  bas_de_gamme, normal, ssd_2to+",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
"brand_honor, normal","bas_de_gamme, ssd_2to+","brand_honor, normal  →  bas_de_gamme, ssd_2to+",0.06,0.6,5.999999999999999,0.049999999999999996,2.25
brand_honor,"normal, platform_aliexpress, ssd_2to+","brand_honor  →  normal, platform_aliexpress, ssd_2to+",0.06,0.6,5.0,0.048,2.1999999999999997
brand_honor,"normal, ssd_2to+","brand_honor  →  normal, ssd_2to+",0.06,0.6,5.0,0.048,2.1999999999999997
"brand_honor, platform_aliexpress","normal, ssd_2to+","brand_honor, platform_aliexpress  →  normal, ssd_2to+",0.06,0.6,5.0,0.048,2.1999999999999997
"normal, ssd_2to+",brand_honor,"normal, ssd_2to+  →  brand_honor",0.06,0.5,5.0,0.048,1.8
"normal, ssd_2to+","brand_honor, platform_aliexpress","normal, ssd_2to+  →  brand_honor, platform_aliexpress",0.06,0.5,5.0,0.048,1.8
"normal, platform_aliexpress, ssd_2to+",brand_honor,"normal, platform_aliexpress, ssd_2to+  →  brand_honor",0.06,0.5,5.0,0.048,1.8
